model,params,N,NodeF1,EdgeF1_native,EdgeF1_aug,PlanningScore_native,PlanningScore_aug,ToolF1,ParamF1,ParamValueF1,ToolUsageScore,EM,TokenF1,Raw_rate,Accepted,Parse_error_rate,EdgeF1_delta,Tool_clean_N
gpt-5.5,--,165,0.5225204587207418,0.0972998488309493,0.1097944962779334,0.3099101537758456,0.3161574774993376,0.4715376524945902,0.4452744745507903,0.2621947158875272,0.4022948346535912,0.5818181818181818,0.6172503422503423,0.5818181818181818,0.6727272727272727,0.0181818181818181,0.0124946474469841,103.0
gpt-5.4,--,165,0.5354477681747326,0.0975052151255359,0.1098442167229107,0.3164764916501342,0.3226459924488217,0.5491315754952119,0.5378553930637264,0.2643287558124922,0.4715807437419893,0.2666666666666666,0.3023556291897599,0.2121212121212121,0.3515151515151515,0.0,0.0123390015973747,117.0
gpt-5.4-mini,--,165,0.5091287975002846,0.1188463458154079,0.1297982894946243,0.3139875716578462,0.3194635434974545,0.6227504482049937,0.5644906405323072,0.2458041083566293,0.5010786937152483,0.1151515151515151,0.1701353390123443,0.109090909090909,0.1575757575757575,0.0,0.0109519436792163,98.0
gpt-5.4-nano,--,165,0.4752840041570785,0.0624692836248288,0.0710176059880534,0.2688766438909537,0.273150805072566,0.5576221324307448,0.5434646838703857,0.2198459706126247,0.4604246084464506,0.1272727272727272,0.1711410643228825,0.103030303030303,0.1696969696969697,0.0,0.0085483223632246,116.0
gemini-3-flash-preview,--,165,0.4671787656820528,0.0909628085687753,0.100267681243097,0.2790707871254141,0.2837232234625749,0.5251125186954063,0.5565630606684527,0.2720757761405285,0.483045845192079,0.4969696969696969,0.5454711774033475,0.4666666666666667,0.5515151515151515,0.0,0.0093048726743216,109.0
gemini-3.1-flash-lite-preview,--,165,0.4423144440334138,0.0932109195591958,0.09837569008692,0.2677626817963048,0.270345067060167,0.5501847479120205,0.5601585335960335,0.2571079927519442,0.4819962648299629,0.303030303030303,0.3634477273568182,0.3212121212121212,0.406060606060606,0.0,0.0051647705277241,105.0
gemini-2.5-flash,--,165,0.5255602774662251,0.1178839129514615,0.1358525387008359,0.3217220952088433,0.3307064080835305,0.4376326619248094,0.4658625364202045,0.241494202700672,0.4058002766036439,0.2,0.2390816299219753,0.1939393939393939,0.3212121212121212,0.0,0.0179686257493744,107.0
gemini-2.5-flash-lite,--,165,0.4971761141257342,0.0995367253573598,0.1099048492969123,0.298356419741547,0.3035404817113232,0.5276934064812852,0.530650537809443,0.2270609324192942,0.4490594128238247,0.1818181818181818,0.2127652359295119,0.1818181818181818,0.2484848484848484,0.0121212121212121,0.0103681239395525,86.0
anthropic__claude-haiku-4-5,--,165,0.5345275590374299,0.0895736574149183,0.1032317798430942,0.3120506082261741,0.318879669440262,0.4627305156196234,0.4966317638364487,0.2255760962279075,0.3949794585613265,0.2848484848484848,0.3310470135924681,0.2848484848484848,0.3333333333333333,0.0,0.0136581224281758,101.0
anthropic__claude-sonnet-4-5,--,165,0.5291215301770096,0.1077858721997477,0.1191400846966566,0.3184537011883786,0.324130807436833,0.4298959508715501,0.4558506989344542,0.2527633110758693,0.3795033202939579,0.4121212121212121,0.4555259633056101,0.4303030303030303,0.4787878787878787,0.0242424242424242,0.0113542124969088,104.0
anthropic__claude-sonnet-4-6,--,165,0.4978422671144592,0.1061259667098144,0.1149894339844876,0.3019841169121368,0.3064158505494734,0.4192525016056262,0.4165497417560909,0.1999992275051467,0.3452671569556213,0.3696969696969697,0.4099387094218188,0.3575757575757576,0.4484848484848485,0.0424242424242424,0.0088634672746731,83.0
Model mean,--,1815,0.5032819987444693,0.09829095965072679,0.10929242421232051,0.3007864791975981,0.30628721147839494,0.5048676465214418,0.5066683695489398,0.2425682808627851,0.4340936923470633,0.3035812672176308,0.3471054392460799,0.2947658402203856,0.37630853994490354,0.008815426997245163,0.011001464561593637,102.63636363636364
