model,N,Accepted_rate,r_native,r_aug,delta_r,ci_low,ci_high,degenerate_bootstrap_samples
gpt-5.5,56,0.6428571428571429,0.3114438216594951,0.3215421285243889,0.010098306864893825,-0.021370156111202687,0.039383691691597625,0.0
gpt-5.4,62,0.3548387096774194,-0.007725986410618412,-0.03240373660099767,-0.02467775019037926,-0.07487538447166786,0.02418368176344481,0.0
gpt-5.4-mini,52,0.15384615384615385,-0.05931741738436401,-0.07617865025136125,-0.01686123286699724,-0.04504607698354346,0.0,0.0
gpt-5.4-nano,61,0.14754098360655737,0.1825374710572762,0.19589053346741242,0.01335306241013623,-0.017781158105003858,0.05449929706089895,0.0
gemini-3-flash-preview,53,0.4339622641509434,0.3173180254676632,0.3079815889226892,-0.009336436544974014,-0.03225313163082421,0.0,0.0
gemini-3.1-flash-lite-preview,52,0.28846153846153844,-0.013120661934328245,-0.022629336724793878,-0.009508674790465632,-0.036606732995920925,0.0,0.0
gemini-2.5-flash,52,0.25,-0.07545468899175979,-0.04965638005825442,0.02579830893350537,-0.020620354287780807,0.08002389946374713,0.0
gemini-2.5-flash-lite,46,0.13043478260869565,0.3607074087929738,0.34207230494049146,-0.01863510385248235,-0.04648178652972455,0.0,0.0
anthropic__claude-haiku-4-5,47,0.3404255319148936,0.11669377130567363,0.11847553833666576,0.001781767030992129,-0.04079586484731155,0.04638934418098615,0.0
anthropic__claude-sonnet-4-5,49,0.4489795918367347,0.052151625564506844,0.027152768765519794,-0.02499885679898705,-0.07180355819680694,0.018232222155399457,0.0
anthropic__claude-sonnet-4-6,39,0.4358974358974359,0.19046311051280815,0.18873571874017028,-0.0017273917726378651,-0.006312336179985755,0.0,0.0
Model mean / total,569,0.3297494668052287,0.12506331633084786,0.12008931618744824,-0.004974000143399624,,,
