pool,subset,n_tasks,n_models,n_pairs,native_or_tie_pairs,augmented_helped_pairs,augmented_helped_rate,mean_edge_delta,median_edge_delta,positive_models,family,model,model_order
closed-model,All,54,1,54,45,9,0.16666666666666666,0.02516876879764063,0.0,1,gemini,Gemini 3 Flash,0
closed-model,All,54,1,54,47,7,0.12962962962962962,0.015781243279157336,0.0,1,gemini,Gemini 3.1 Flash-Lite,1
closed-model,All,54,1,54,42,12,0.2222222222222222,0.047584837699216787,0.0,1,gemini,Gemini 2.5 Flash,2
closed-model,All,54,1,54,45,9,0.16666666666666666,0.028316972563004302,0.0,1,gemini,Gemini 2.5 Flash-Lite,3
closed-model,All,54,1,54,46,8,0.14814814814814814,0.02092713050371476,0.0,1,openai,GPT-5.5,0
closed-model,All,54,1,54,43,11,0.2037037037037037,0.03441258492428082,0.0,1,openai,GPT-5.4,1
closed-model,All,54,1,54,46,8,0.14814814814814814,0.03346427235316124,0.0,1,openai,GPT-5.4-Mini,2
closed-model,All,54,1,54,44,10,0.18518518518518517,0.022624957402518305,0.0,1,openai,GPT-5.4-Nano,3
open-weight,All,54,1,54,44,10,0.18518518518518517,0.020718344613253455,0.0,1,open-weight,Mistral Large 3,0
open-weight,All,54,1,54,46,8,0.14814814814814814,0.02846824864798721,0.0,1,open-weight,Llama-3.1,1
open-weight,All,54,1,54,44,10,0.18518518518518517,0.03629238144546022,0.0,1,open-weight,Llama-3.3,2
open-weight,All,54,1,54,43,11,0.2037037037037037,0.03825924852509513,0.0,1,open-weight,Gemma 4,3
open-weight,All,54,1,54,42,12,0.2222222222222222,0.03969685172583723,0.0,1,open-weight,Mistral Small 3.2,4
open-weight,All,54,1,54,42,12,0.2222222222222222,0.03818737846515625,0.0,1,open-weight,Llama-4 Maverick,5
open-weight,All,54,1,54,42,12,0.2222222222222222,0.03409682757130851,0.0,1,open-weight,Gemma 3,6
