model,params,model_id,cat,domain,n,unique_only_tool_f1,unique_doc_tool_f1,unique_doc_web_tool_f1,doc_delta,doc_web_delta
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,ALL,All,165,0.447850,0.485945,0.615527,0.038095,0.167677
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,ALL,All,165,0.436133,0.499913,0.626089,0.063781,0.189957
Llama-3.3,70B,Llama-3.3-70B-Instruct,ALL,All,165,0.529101,0.560298,0.644108,0.031198,0.115007
Gemma 4,31B,gemma-4-31B-it,ALL,All,165,0.546147,0.592670,0.675238,0.046522,0.129091
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,ALL,All,165,0.501991,0.572525,0.651746,0.070534,0.149755
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,ALL,All,165,0.467691,0.503304,0.612468,0.035613,0.144776
Gemma 3,12B,gemma-3-12b-it,ALL,All,165,0.559336,0.596133,0.658499,0.036797,0.099163
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,A,Text,127,0.445857,0.445857,0.613161,0.000000,0.167304
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,A,Text,127,0.439895,0.439895,0.601912,0.000000,0.162017
Llama-3.3,70B,Llama-3.3-70B-Instruct,A,Text,127,0.528871,0.528871,0.636633,0.000000,0.107762
Gemma 4,31B,gemma-4-31B-it,A,Text,127,0.576790,0.576790,0.683315,0.000000,0.106524
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,A,Text,127,0.531534,0.531534,0.633333,0.000000,0.101800
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,A,Text,127,0.443795,0.443795,0.584777,0.000000,0.140982
Gemma 3,12B,gemma-3-12b-it,A,Text,127,0.549606,0.549606,0.629509,0.000000,0.079903
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,B,Document,25,0.429333,0.680762,0.680762,0.251429,0.251429
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,B,Document,25,0.280000,0.700952,0.700952,0.420952,0.420952
Llama-3.3,70B,Llama-3.3-70B-Instruct,B,Document,25,0.454667,0.660571,0.660571,0.205905,0.205905
Gemma 4,31B,gemma-4-31B-it,B,Document,25,0.345333,0.652381,0.652381,0.307048,0.307048
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,B,Document,25,0.202667,0.668190,0.668190,0.465524,0.465524
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,B,Document,25,0.477333,0.712381,0.712381,0.235048,0.235048
Gemma 3,12B,gemma-3-12b-it,B,Document,25,0.480000,0.722857,0.722857,0.242857,0.242857
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,C,Vision,10,0.487143,0.487143,0.500476,0.000000,0.013333
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,C,Vision,10,0.709524,0.709524,0.733810,0.000000,0.024286
Llama-3.3,70B,Llama-3.3-70B-Instruct,C,Vision,10,0.693492,0.693492,0.707778,0.000000,0.014286
Gemma 4,31B,gemma-4-31B-it,C,Vision,10,0.622857,0.622857,0.632381,0.000000,0.009524
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,C,Vision,10,0.825714,0.825714,0.840000,0.000000,0.014286
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,C,Vision,10,0.690714,0.690714,0.701429,0.000000,0.010714
Gemma 3,12B,gemma-3-12b-it,C,Vision,10,0.782381,0.782381,0.796667,0.000000,0.014286
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,D,Audio,3,0.555556,0.555556,0.555556,0.000000,0.000000
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,D,Audio,3,0.666667,0.666667,0.666667,0.000000,0.000000
Llama-3.3,70B,Llama-3.3-70B-Instruct,D,Audio,3,0.611111,0.611111,0.611111,0.000000,0.000000
Gemma 4,31B,gemma-4-31B-it,D,Audio,3,0.666667,0.666667,0.666667,0.000000,0.000000
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,D,Audio,3,0.666667,0.666667,0.666667,0.000000,0.000000
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,D,Audio,3,0.655556,0.655556,0.655556,0.000000,0.000000
Gemma 3,12B,gemma-3-12b-it,D,Audio,3,0.888889,0.888889,0.888889,0.000000,0.000000
