model,params,model_id,cat,domain,n,current_slot_tool_precision,current_slot_tool_recall,current_slot_tool_f1,unique_type_tool_precision,unique_type_tool_recall,unique_type_tool_f1,delta_unique_minus_current
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,ALL,All,165,0.359110,0.633261,0.374352,0.402525,0.702020,0.447850,0.073498
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,ALL,All,165,0.438361,0.580007,0.408038,0.445960,0.619697,0.436133,0.028094
Llama-3.3,70B,Llama-3.3-70B-Instruct,ALL,All,165,0.509947,0.694230,0.495409,0.526263,0.720707,0.529101,0.033691
Gemma 4,31B,gemma-4-31B-it,ALL,All,165,0.522537,0.694009,0.493872,0.560606,0.714141,0.546147,0.052275
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,ALL,All,165,0.498502,0.669372,0.475150,0.506970,0.698485,0.501991,0.026842
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,ALL,All,165,0.364623,0.703264,0.385462,0.438586,0.723737,0.467691,0.082229
Gemma 3,12B,gemma-3-12b-it,ALL,All,165,0.504894,0.738502,0.502523,0.545960,0.767172,0.559336,0.056813
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,A,Text,127,0.335083,0.677006,0.359443,0.386483,0.763780,0.445857,0.086414
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,A,Text,127,0.449727,0.625009,0.416912,0.447507,0.667979,0.439895,0.022983
Llama-3.3,70B,Llama-3.3-70B-Instruct,A,Text,127,0.520310,0.732377,0.502067,0.528215,0.758530,0.528871,0.026805
Gemma 4,31B,gemma-4-31B-it,A,Text,127,0.548835,0.764745,0.521176,0.589239,0.784777,0.576790,0.055614
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,A,Text,127,0.527725,0.748528,0.506652,0.535302,0.776903,0.531534,0.024882
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,A,Text,127,0.348501,0.732302,0.368404,0.413648,0.751969,0.443795,0.075391
Gemma 3,12B,gemma-3-12b-it,A,Text,127,0.502074,0.769882,0.495402,0.532808,0.805774,0.549606,0.054205
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,B,Document,25,0.371333,0.480000,0.397939,0.400000,0.480000,0.429333,0.031394
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,B,Document,25,0.231667,0.320000,0.253333,0.270000,0.320000,0.280000,0.026667
Llama-3.3,70B,Llama-3.3-70B-Instruct,B,Document,25,0.374000,0.520000,0.413905,0.423333,0.520000,0.454667,0.040762
Gemma 4,31B,gemma-4-31B-it,B,Document,25,0.326667,0.360000,0.319373,0.356667,0.360000,0.345333,0.025961
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,B,Document,25,0.173714,0.240000,0.188095,0.186667,0.240000,0.202667,0.014571
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,B,Document,25,0.370333,0.540000,0.408286,0.453333,0.540000,0.477333,0.069048
Gemma 3,12B,gemma-3-12b-it,B,Document,25,0.356048,0.520000,0.399175,0.456667,0.520000,0.480000,0.080825
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,C,Vision,10,0.541429,0.500833,0.450357,0.533333,0.533333,0.487143,0.036785
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,C,Vision,10,0.642262,0.682500,0.604524,0.700000,0.791667,0.709524,0.105000
Llama-3.3,70B,Llama-3.3-70B-Instruct,C,Vision,10,0.646190,0.703611,0.596581,0.666667,0.808333,0.693492,0.096911
Gemma 4,31B,gemma-4-31B-it,C,Vision,10,0.535000,0.688889,0.531515,0.575000,0.766667,0.622857,0.091342
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,C,Vision,10,0.788889,0.788333,0.735253,0.800000,0.908333,0.825714,0.090462
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,C,Vision,10,0.447811,0.753611,0.464012,0.633333,0.841667,0.690714,0.226703
Gemma 3,12B,gemma-3-12b-it,C,Vision,10,0.764286,0.857778,0.735427,0.800000,0.875000,0.782381,0.046954
Mistral Large 3,675B,Mistral-Large-3-675B-Instruct-2512,D,Audio,3,0.666667,0.500000,0.555556,0.666667,0.500000,0.555556,0.000000
Llama-3.1,405B,Llama-3.1-405B-Instruct-FP8,D,Audio,3,1.000000,0.500000,0.666667,1.000000,0.500000,0.666667,0.000000
Llama-3.3,70B,Llama-3.3-70B-Instruct,D,Audio,3,0.750000,0.500000,0.555556,0.833333,0.500000,0.611111,0.055556
Gemma 4,31B,gemma-4-31B-it,D,Audio,3,1.000000,0.500000,0.666667,1.000000,0.500000,0.666667,0.000000
Mistral Small 3.2,24B,Mistral-Small-3.2-24B-Instruct-2506,D,Audio,3,1.000000,0.500000,0.666667,1.000000,0.500000,0.666667,0.000000
Llama-4 Maverick,17B,Llama-4-Maverick-17B-128E-Instruct-FP8,D,Audio,3,0.722222,0.666667,0.655556,0.722222,0.666667,0.655556,0.000000
Gemma 3,12B,gemma-3-12b-it,D,Audio,3,1.000000,0.833333,0.888889,1.000000,0.833333,0.888889,0.000000
