pool,family,display_model,sample_id,cat,domain,level,retained_orderings,bucket,chain_only_planning_score,augmented_best_planning_score,chain_only_semantic_edge_f1,augmented_best_semantic_edge_f1,edge_delta
open-weight,open-weight,Mistral Large 3,c61d22de-5f6c-4958-a7f6-5e9707bd3466,A,Text,2,50,multi-order-rich,0.1764705882352941,0.1764705882352941,,,0.0
open-weight,open-weight,Mistral Large 3,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,A,Text,2,14,multi-order-rich,0.2589285714285714,0.2589285714285714,,,0.0
open-weight,open-weight,Mistral Large 3,e1fc63a2-da7a-432f-be78-7c4a95598703,A,Text,1,2,multi-order-rich,0.4,0.4,,,0.0
open-weight,open-weight,Mistral Large 3,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,A,Text,2,46,multi-order-rich,0.4205128205128204,0.4333333333333333,,,0.025641025641025772
open-weight,open-weight,Mistral Large 3,676e5e31-a554-4acc-9286-b60d90a92d26,A,Text,3,50,multi-order-rich,0.2,0.2,,,0.0
open-weight,open-weight,Mistral Large 3,2a649bb1-795f-4a01-b3be-9a01868dae73,A,Text,2,50,multi-order-rich,0.3746130030959752,0.3746130030959752,,,0.0
open-weight,open-weight,Mistral Large 3,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,A,Text,2,6,multi-order-rich,0.0833333333333333,0.0833333333333333,,,0.0
open-weight,open-weight,Mistral Large 3,00d579ea-0889-4fd9-a771-2c8d79835c8d,A,Text,3,4,multi-order-rich,0.2,0.2,,,0.0
open-weight,open-weight,Mistral Large 3,f0f46385-fc03-4599-b5d3-f56496c3e69f,A,Text,2,50,multi-order-rich,0.3157894736842105,0.3157894736842105,,,0.0
open-weight,open-weight,Mistral Large 3,56137764-b4e0-45b8-9c52-1866420c3df5,A,Text,2,49,multi-order-rich,0.4102564102564103,0.4102564102564103,,,0.0
open-weight,open-weight,Mistral Large 3,de9887f5-ead8-4727-876f-5a4078f8598c,A,Text,3,34,multi-order-rich,0.2307692307692307,0.2307692307692307,,,0.0
open-weight,open-weight,Mistral Large 3,0ff53813-3367-4f43-bcbd-3fd725c1bf4b,A,Text,2,19,multi-order-rich,0.0769230769230769,0.0769230769230769,,,0.0
open-weight,open-weight,Mistral Large 3,983bba7c-c092-455f-b6c9-7857003d48fc,A,Text,3,2,multi-order-rich,0.2907268170426065,0.2969187675070028,,,0.012383900928792602
open-weight,open-weight,Mistral Large 3,27d5d136-8563-469e-92bf-fd103c28b57c,A,Text,1,50,multi-order-rich,0.5178571428571429,0.5178571428571429,,,0.0
open-weight,open-weight,Mistral Large 3,dc28cf18-6431-458b-83ef-64b3ce566c10,A,Text,1,9,multi-order-rich,0.4523809523809523,0.4523809523809523,,,0.0
open-weight,open-weight,Mistral Large 3,f46b4380-207e-4434-820b-f32ce04ae2a4,A,Text,2,47,multi-order-rich,0.375,0.375,,,0.0
open-weight,open-weight,Mistral Large 3,16d825ff-1623-4176-a5b5-42e0f5c2b0ac,A,Text,2,50,multi-order-rich,0.2907268170426065,0.2936507936507936,,,0.005847953216374213
open-weight,open-weight,Mistral Large 3,42576abe-0deb-4869-8c63-225c2d75a95a,A,Text,1,3,multi-order-rich,0.2727272727272727,0.2727272727272727,,,0.0
open-weight,open-weight,Mistral Large 3,6b078778-0b90-464d-83f6-59511c811b01,A,Text,2,2,multi-order-rich,0.4166666666666667,0.5075757575757576,,,0.18181818181818177
open-weight,open-weight,Mistral Large 3,8131e2c0-0083-4265-9ce7-78c2d568425d,A,Text,3,5,multi-order-rich,0.2272727272727272,0.2272727272727272,,,0.0
open-weight,open-weight,Mistral Large 3,72c06643-a2fa-4186-aa5c-9ec33ae9b445,A,Text,3,50,multi-order-rich,0.125,0.125,,,0.0
open-weight,open-weight,Mistral Large 3,7b5377b0-3f38-4103-8ad2-90fe89864c04,A,Text,2,4,multi-order-rich,0.3333333333333333,0.3333333333333333,,,0.0
open-weight,open-weight,Mistral Large 3,c8b7e059-c60d-472e-ad64-3b04ae1166dc,A,Text,2,50,multi-order-rich,0.2222222222222222,0.2222222222222222,,,0.0
open-weight,open-weight,Mistral Large 3,d1af70ea-a9a4-421a-b9cc-94b5e02f1788,A,Text,2,23,multi-order-rich,0.3839285714285714,0.3839285714285714,,,0.0
open-weight,open-weight,Mistral Large 3,c714ab3a-da30-4603-bacd-d008800188b9,A,Text,1,2,multi-order-rich,0.2857142857142857,0.2857142857142857,,,0.0
open-weight,open-weight,Mistral Large 3,f2feb6a4-363c-4c09-a804-0db564eafd68,A,Text,2,49,multi-order-rich,0.2307692307692307,0.2307692307692307,,,0.0
open-weight,open-weight,Mistral Large 3,872bfbb1-9ccf-49f6-8c5f-aa22818ccd66,A,Text,3,49,multi-order-rich,0.5450980392156862,0.5450980392156862,,,0.0
open-weight,open-weight,Mistral Large 3,c3a79cfe-8206-451f-aca8-3fec8ebe51d3,A,Text,3,4,multi-order-rich,0.3145833333333333,0.3145833333333333,,,0.0
open-weight,open-weight,Mistral Large 3,023e9d44-96ae-4eed-b912-244ee8c3b994,A,Text,2,47,multi-order-rich,0.25,0.25,,,0.0
open-weight,open-weight,Mistral Large 3,11af4e1a-5f45-467d-9aeb-46f4bb0bf034,A,Text,1,5,multi-order-rich,0.2222222222222222,0.2222222222222222,,,0.0
open-weight,open-weight,Mistral Large 3,e142056d-56ab-4352-b091-b56054bd1359,A,Text,1,7,multi-order-rich,0.1538461538461538,0.1538461538461538,,,0.0
open-weight,open-weight,Mistral Large 3,50ad0280-0819-4bd9-b275-5de32d3b5bcb,A,Text,1,41,multi-order-rich,0.0,0.0,,,0.0
open-weight,open-weight,Mistral Large 3,42d4198c-5895-4f0a-b0c0-424a66465d83,A,Text,2,2,multi-order-rich,0.2857142857142857,0.2857142857142857,,,0.0
open-weight,open-weight,Mistral Large 3,d5141ca5-e7a0-469f-bf3e-e773507c86e2,A,Text,2,5,multi-order-rich,0.2857142857142857,0.369047619047619,,,0.16666666666666663
open-weight,open-weight,Mistral Large 3,9e1fc53b-46ff-49a1-9d05-9e6faac34cc5,A,Text,3,50,multi-order-rich,0.2758620689655173,0.3143236074270557,,,0.07692307692307676
open-weight,open-weight,Mistral Large 3,e29834fd-413a-455c-a33e-c3915b07401c,A,Text,2,19,multi-order-rich,0.5238095238095238,0.6071428571428572,,,0.16666666666666674
open-weight,open-weight,Mistral Large 3,5f982798-16b9-4051-ab57-cfc7ebdb2a91,A,Text,3,14,multi-order-rich,0.2105263157894737,0.2105263157894737,,,0.0
open-weight,open-weight,Mistral Large 3,db4fd70a-2d37-40ea-873f-9433dc5e301f,A,Text,2,23,multi-order-rich,0.1764705882352941,0.1764705882352941,,,0.0
open-weight,open-weight,Mistral Large 3,853c8244-429e-46ca-89f2-addf40dfb2bd,A,Text,2,4,multi-order-rich,0.1874999999999999,0.1874999999999999,,,0.0
open-weight,open-weight,Llama-3.1,c61d22de-5f6c-4958-a7f6-5e9707bd3466,A,Text,2,50,multi-order-rich,0.1578947368421052,0.1578947368421052,,,0.0
open-weight,open-weight,Llama-3.1,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,A,Text,2,14,multi-order-rich,0.2666666666666666,0.2666666666666666,,,0.0
open-weight,open-weight,Llama-3.1,e1fc63a2-da7a-432f-be78-7c4a95598703,A,Text,1,2,multi-order-rich,0.4444444444444445,0.4444444444444445,,,0.0
open-weight,open-weight,Llama-3.1,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,A,Text,2,46,multi-order-rich,0.5641025641025641,0.5833333333333333,,,0.038461538461538325
open-weight,open-weight,Llama-3.1,676e5e31-a554-4acc-9286-b60d90a92d26,A,Text,3,50,multi-order-rich,0.2083333333333333,0.2083333333333333,,,0.0
open-weight,open-weight,Llama-3.1,2a649bb1-795f-4a01-b3be-9a01868dae73,A,Text,2,50,multi-order-rich,0.3055555555555556,0.3055555555555556,,,0.0
open-weight,open-weight,Llama-3.1,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,A,Text,2,6,multi-order-rich,0.0833333333333333,0.0833333333333333,,,0.0
open-weight,open-weight,Llama-3.1,00d579ea-0889-4fd9-a771-2c8d79835c8d,A,Text,3,4,multi-order-rich,0.2,0.2,,,0.0
open-weight,open-weight,Llama-3.1,f0f46385-fc03-4599-b5d3-f56496c3e69f,A,Text,2,50,multi-order-rich,0.2777777777777778,0.2777777777777778,,,0.0
open-weight,open-weight,Llama-3.1,56137764-b4e0-45b8-9c52-1866420c3df5,A,Text,2,49,multi-order-rich,0.369047619047619,0.369047619047619,,,0.0
open-weight,open-weight,Llama-3.1,de9887f5-ead8-4727-876f-5a4078f8598c,A,Text,3,34,multi-order-rich,0.3076923076923076,0.3076923076923076,,,0.0
open-weight,open-weight,Llama-3.1,0ff53813-3367-4f43-bcbd-3fd725c1bf4b,A,Text,2,19,multi-order-rich,0.25,0.25,,,0.0
open-weight,open-weight,Llama-3.1,983bba7c-c092-455f-b6c9-7857003d48fc,A,Text,3,2,multi-order-rich,0.3055555555555556,0.3125,,,0.01388888888888884
open-weight,open-weight,Llama-3.1,27d5d136-8563-469e-92bf-fd103c28b57c,A,Text,1,50,multi-order-rich,0.2976190476190476,0.2976190476190476,,,0.0
open-weight,open-weight,Llama-3.1,dc28cf18-6431-458b-83ef-64b3ce566c10,A,Text,1,9,multi-order-rich,0.4,0.5538461538461539,,,0.3076923076923077
open-weight,open-weight,Llama-3.1,f46b4380-207e-4434-820b-f32ce04ae2a4,A,Text,2,47,multi-order-rich,0.2666666666666666,0.2666666666666666,,,0.0
open-weight,open-weight,Llama-3.1,16d825ff-1623-4176-a5b5-42e0f5c2b0ac,A,Text,2,50,multi-order-rich,0.1666666666666666,0.1666666666666666,,,0.0
open-weight,open-weight,Llama-3.1,42576abe-0deb-4869-8c63-225c2d75a95a,A,Text,1,3,multi-order-rich,0.4545454545454545,0.4545454545454545,,,0.0
open-weight,open-weight,Llama-3.1,6b078778-0b90-464d-83f6-59511c811b01,A,Text,2,2,multi-order-rich,0.4747474747474747,0.5636363636363636,,,0.1777777777777778
