section,slice,rows,native_rows,non_native_rows,native_len_mean,native_len_median,critical_path_mean,critical_path_median,parallelism_mean,parallelism_median,kendall_mean,kendall_median,kendall_max
Reference type,All final references,1522,165,1357,12.151773981603153,10.0,7.197109067017083,7.0,0.3692345059079669,0.3846153846153846,0.20493567439048277,0.19047619047619047,0.6666666666666666
Reference type,Retained non-native references,1357,0,1357,12.683124539425203,10.0,7.287398673544583,7.0,0.4000744810897528,0.4,0.22985416095970135,0.2,0.6666666666666666
Coverage bucket,native-only,107,107,0,6.345794392523365,6.0,6.345794392523365,6.0,0.0,0.0,0.0,0.0,0.0
Coverage bucket,exactly-one,8,4,4,5.5,5.5,4.5,4.5,0.18988095238095237,0.1833333333333333,0.047619047619047616,0.023809523809523808,0.16666666666666666
Coverage bucket,multi-order-rich,1407,54,1353,12.631130063965886,10.0,7.277185501066098,7.0,0.3983339519352367,0.4,0.22141516989435847,0.1978021978021978,0.6666666666666666
GAIA level,Level 1,296,53,243,8.016891891891891,8.0,4.631756756756757,4.0,0.39298450235950233,0.5555555555555556,0.25099742599742597,0.23809523809523808,0.6666666666666666
GAIA level,Level 2,783,86,697,10.553001277139208,10.0,6.787994891443168,7.0,0.353451929792926,0.3846153846153846,0.19997433388237984,0.17582417582417584,0.6666666666666666
GAIA level,Level 3,443,26,417,17.740406320541762,12.0,9.63431151241535,10.0,0.38126104800372906,0.35,0.18292766342477024,0.17894736842105263,0.47619047619047616
Domain,Text,1121,127,994,11.712756467439785,10.0,7.5566458519179305,7.0,0.3400702168472085,0.33333333333333337,0.184587192794968,0.16666666666666666,0.6666666666666666
Domain,Document,266,25,241,15.342105263157896,9.0,6.642857142857143,6.0,0.45143839034816485,0.4285714285714286,0.22016341568710865,0.23333333333333334,0.47619047619047616
Domain,Vision,113,10,103,8.79646017699115,9.0,4.300884955752212,4.0,0.49900777688388304,0.5555555555555556,0.40210065254313043,0.4166666666666667,0.6666666666666666
Domain,Audio,22,3,19,13.181818181818182,14.0,10.454545454545455,11.0,0.19480519480519484,0.2142857142857143,0.04495504495504496,0.04395604395604396,0.0989010989010989
