sample_id,cat,domain,level,native_chain_length,critical_path_length,parallelism_ratio,candidate_orderings,retained_orderings,filtered_orderings,bucket,max_parallelism,retained_ordering_distance_mean,retained_ordering_distance_median,retained_ordering_distance_max
c61d22de-5f6c-4958-a7f6-5e9707bd3466,A,Text,2,12,6,0.5,50,50,0,multi-order-rich,3,0.47424242424242424,0.4696969696969697,0.5606060606060606
17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,A,Text,2,10,8,0.19999999999999996,15,14,0,multi-order-rich,2,0.09523809523809522,0.08888888888888889,0.17777777777777778
04a04a9b-226c-43fd-b319-d5e89743676f,A,Text,2,3,3,0.0,1,0,0,native-only,1,,,
14569e28-c88c-43e4-8c32-097d35b9a67d,A,Text,2,6,6,0.0,1,0,0,native-only,1,,,
e1fc63a2-da7a-432f-be78-7c4a95598703,A,Text,1,4,3,0.25,3,2,0,multi-order-rich,2,0.25,0.25,0.3333333333333333
8e867cd7-cff9-4e6c-867a-ff5ddc2550be,A,Text,1,4,4,0.0,1,0,1,native-only,1,,,
3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,A,Text,2,10,7,0.30000000000000004,50,46,3,multi-order-rich,2,0.2231884057971015,0.2,0.4444444444444444
7619a514-5fa8-43ef-9143-83b66a43d7a4,A,Text,2,9,9,0.0,1,0,0,native-only,1,,,
ec09fa32-d03f-4bf8-84b0-1f16922c3ae4,A,Text,1,9,9,0.0,1,0,0,native-only,1,,,
676e5e31-a554-4acc-9286-b60d90a92d26,A,Text,3,18,14,0.2222222222222222,50,50,0,multi-order-rich,3,0.07895424836601307,0.0784313725490196,0.13071895424836602
2a649bb1-795f-4a01-b3be-9a01868dae73,A,Text,2,13,8,0.3846153846153846,50,50,0,multi-order-rich,4,0.16871794871794868,0.16666666666666666,0.23076923076923078
87c610df-bef7-4932-b950-1d83ef4e282b,A,Text,2,6,6,0.0,1,0,1,native-only,1,,,
624cbf11-6a41-4692-af9c-36b3e5ca3130,A,Text,2,12,12,0.0,50,0,50,native-only,3,,,
dd3c7503-f62a-4bd0-9f67-1b63b94194cc,A,Text,2,5,3,0.4,7,6,0,multi-order-rich,2,0.25,0.25,0.4
5d0080cb-90d7-4712-bc33-848150e917d3,A,Text,1,4,4,0.0,1,0,1,native-only,1,,,
a1e91b78-d3d8-4675-bb8d-62741b4b68a6,A,Text,1,3,3,0.0,1,0,1,native-only,1,,,
46719c30-f4c3-4cad-be07-d5cb21eee6bb,A,Text,1,8,8,0.0,5,0,5,native-only,2,,,
00d579ea-0889-4fd9-a771-2c8d79835c8d,A,Text,3,5,3,0.4,6,4,1,multi-order-rich,2,0.175,0.2,0.2
4b6bb5f7-f634-410e-815d-e673ab7f8632,A,Text,1,4,4,0.0,1,0,0,native-only,1,,,
f0f46385-fc03-4599-b5d3-f56496c3e69f,A,Text,2,13,10,0.23076923076923073,50,50,0,multi-order-rich,2,0.13153846153846155,0.1282051282051282,0.21794871794871795
384d0dd8-e8a4-4cfe-963c-d37f256e7662,A,Text,3,14,14,0.0,1,0,0,native-only,1,,,
e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,A,Text,2,5,5,0.0,1,0,0,native-only,1,,,
56137764-b4e0-45b8-9c52-1866420c3df5,A,Text,2,9,5,0.4444444444444444,50,49,0,multi-order-rich,2,0.23242630385487525,0.2222222222222222,0.4444444444444444
de9887f5-ead8-4727-876f-5a4078f8598c,A,Text,3,9,6,0.33333333333333337,35,34,0,multi-order-rich,2,0.1715686274509804,0.16666666666666666,0.3333333333333333
8b3379c0-0981-4f5b-8407-6444610cb212,A,Text,2,6,6,0.0,1,0,0,native-only,1,,,
0ff53813-3367-4f43-bcbd-3fd725c1bf4b,A,Text,2,7,4,0.4285714285714286,20,19,0,multi-order-rich,2,0.22556390977443613,0.23809523809523808,0.42857142857142855
983bba7c-c092-455f-b6c9-7857003d48fc,A,Text,3,14,8,0.4285714285714286,50,2,48,multi-order-rich,4,0.22527472527472528,0.22527472527472528,0.24175824175824176
a7feb290-76bb-4cb7-8800-7edaf7954f2f,A,Text,2,6,6,0.0,1,0,1,native-only,1,,,
b4cc024b-3f5e-480e-b96a-6656493255b5,A,Text,2,9,9,0.0,1,0,0,native-only,1,,,
2d83110e-a098-4ebb-9987-066c06fa42d0,A,Text,1,1,1,0.0,1,0,0,native-only,1,,,
33d8ea3b-6c6b-4ff1-803d-7e270dea8a57,A,Text,2,11,11,0.0,1,0,0,native-only,1,,,
